entity_name,total_inflow,total_outflow,net_flow,transaction_count
Leslie Wexner,0,77000000,-77000000,1
Jeffrey Epstein,1547025000,1500000,1545525000,5
Leslie Wexner Trusts,0,1300000000,-1300000000,1
Leon Black,0,170000000,-170000000,1
Carbyne,1500000,0,1500000,1
Southern Trust,0,25000000,-25000000,1
Rothschild Bank,25000000,0,25000000,1
Steven Hoffenberg,0,25000,-25000,1
JPMorgan,0,1000000000,-1000000000,1
Epstein Entities,1150000000,0,1150000000,2
Deutsche Bank,0,150000000,-150000000,1
Prince Andrew,0,12000000,-12000000,1
Virginia Giuffre,12000000,0,12000000,1
Epstein Estate,0,125000000,-125000000,1
Victims Compensation,125000000,0,125000000,1
